data_ora_proiezione;titolo_film;genere;regista;anno;durata_minuti;eta_minima;prezzo_biglietto
30/12/2027 10:30;A Beautiful Mind;Biography;Ron Howard;2001;135;12;8.50
29/12/2027 16:00;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;8.50
29/12/2027 12:30;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;8.50
29/12/2027 10:00;To Have and Have Not;Adventure;Howard Hawks;1944;100;6;8.00
28/12/2027 15:30;Blue Velvet;Drama;David Lynch;1986;120;12;7.50
28/12/2027 13:00;The Philadelphia Story;Comedy;George Cukor;1940;112;12;8.50
28/12/2027 10:00;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;6.50
27/12/2027 14:00;The Blues Brothers;Action;John Landis;1980;133;0;8.50
27/12/2027 10:30;The Bridge on the River Kwai;Adventure;David Lean;1957;161;6;7.50
26/12/2027 19:30;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;10.00
26/12/2027 16:00;The Bridge on the River Kwai;Adventure;David Lean;1957;161;6;8.50
26/12/2027 13:00;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;8.50
26/12/2027 10:00;Blue Velvet;Drama;David Lynch;1986;120;12;7.50
25/12/2027 22:00;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;10.00
25/12/2027 18:00;Gandhi;Biography;Richard Attenborough;1982;191;0;9.00
25/12/2027 14:30;The Lord of the Rings: The Fellowship of the Ring;Action;Peter Jackson;2001;178;0;7.00
25/12/2027 10:30;The Lord of the Rings: The Fellowship of the Ring;Action;Peter Jackson;2001;178;0;8.00
24/12/2027 13:30;Misery;Drama;Rob Reiner;1990;107;16;8.00
24/12/2027 10:30;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;8.50
23/12/2027 10:00;The Hurricane;Biography;Norman Jewison;1999;146;16;8.50
22/12/2027 17:00;C.R.A.Z.Y.;Comedy;Jean-Marc Vallée;2005;129;12;8.00
22/12/2027 14:30;Misery;Drama;Rob Reiner;1990;107;16;7.50
22/12/2027 10:30;Veer-Zaara;Drama;Yash Chopra;2004;192;0;7.50
21/12/2027 16:00;Primal Fear;Crime;Gregory Hoblit;1996;129;12;7.00
21/12/2027 13:00;The Blues Brothers;Action;John Landis;1980;133;0;8.00
21/12/2027 10:00;Blue Velvet;Drama;David Lynch;1986;120;12;7.50
20/12/2027 13:30;Donnie Darko;Drama;Richard Kelly;2001;113;16;7.00
20/12/2027 10:30;Star Trek II: The Wrath of Khan;Action;Nicholas Meyer;1982;113;0;8.00
19/12/2027 16:00;The Silence of the Lambs;Crime;Jonathan Demme;1991;118;12;7.50
19/12/2027 13:00;Philadelphia;Drama;Jonathan Demme;1993;125;12;8.50
19/12/2027 10:00;Primal Fear;Crime;Gregory Hoblit;1996;129;12;8.00
18/12/2027 16:30;The Maltese Falcon;Film-Noir;John Huston;1941;100;12;8.00
18/12/2027 13:30;The Blues Brothers;Action;John Landis;1980;133;0;8.00
18/12/2027 10:30;C.R.A.Z.Y.;Comedy;Jean-Marc Vallée;2005;129;12;6.50
17/12/2027 10:00;Primal Fear;Crime;Gregory Hoblit;1996;129;12;7.50
16/12/2027 15:00;Cape Fear;Drama;J. Lee Thompson;1962;106;12;8.00
16/12/2027 10:30;Shichinin no samurai;Action;Akira Kurosawa;1954;207;0;6.50
15/12/2027 16:00;American Psycho;Comedy;Mary Harron;2000;101;12;8.00
15/12/2027 13:30;The Others;Horror;Alejandro Amenábar;2001;101;12;8.00
15/12/2027 10:30;Blue Velvet;Drama;David Lynch;1986;120;12;7.50
14/12/2027 10:30;Fight Club;Drama;David Fincher;1999;139;12;6.50
13/12/2027 15:30;American Psycho;Comedy;Mary Harron;2000;101;12;6.50
13/12/2027 12:30;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;8.00
13/12/2027 10:00;Kurenai no buta;Animation;Hayao Miyazaki;1992;94;0;7.00
12/12/2027 18:00;Shichinin no samurai;Action;Akira Kurosawa;1954;207;0;8.50
12/12/2027 15:30;To Have and Have Not;Adventure;Howard Hawks;1944;100;6;8.00
12/12/2027 13:00;Withnail & I;Comedy;Bruce Robinson;1987;107;16;6.50
12/12/2027 10:30;The Maltese Falcon;Film-Noir;John Huston;1941;100;12;8.00
11/12/2027 19:00;Fight Club;Drama;David Fincher;1999;139;12;10.00
11/12/2027 16:30;Reservoir Dogs;Crime;Quentin Tarantino;1992;99;16;8.50
11/12/2027 12:30;Shichinin no samurai;Action;Akira Kurosawa;1954;207;0;8.50
11/12/2027 10:00;Eastern Promises;Action;David Cronenberg;2007;100;16;6.50
10/12/2027 13:00;To Have and Have Not;Adventure;Howard Hawks;1944;100;6;6.50
10/12/2027 10:30;Cape Fear;Drama;J. Lee Thompson;1962;106;12;7.00
09/12/2027 10:00;Star Trek II: The Wrath of Khan;Action;Nicholas Meyer;1982;113;0;8.00
08/12/2027 10:00;Blue Velvet;Drama;David Lynch;1986;120;12;6.50
07/12/2027 15:00;Lat sau san taam;Action;John Woo;1992;128;16;7.00
07/12/2027 12:30;Eastern Promises;Action;David Cronenberg;2007;100;16;6.50
07/12/2027 10:00;Withnail & I;Comedy;Bruce Robinson;1987;107;16;6.50
06/12/2027 15:00;American Psycho;Comedy;Mary Harron;2000;101;12;8.00
06/12/2027 12:30;The Maltese Falcon;Film-Noir;John Huston;1941;100;12;8.50
06/12/2027 10:00;Eastern Promises;Action;David Cronenberg;2007;100;16;7.00
05/12/2027 20:00;American Psycho;Comedy;Mary Harron;2000;101;12;8.50
05/12/2027 17:30;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;8.50
05/12/2027 13:00;Giant;Drama;George Stevens;1956;201;0;8.50
05/12/2027 10:00;Mississippi Burning;Crime;Alan Parker;1988;128;12;8.00
04/12/2027 15:30;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;6.50
04/12/2027 12:30;Lat sau san taam;Action;John Woo;1992;128;16;8.00
04/12/2027 10:00;Cape Fear;Drama;J. Lee Thompson;1962;106;12;8.00
03/12/2027 16:00;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;8.50
